Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,TotalIncome,LoanAmount_to_Income,Income_per_Dependent,Has_Coapplicant,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
1,0,0.0,1,0,5849,0.0,128.0,360.0,1.0,1,5849.0,0.021884082749187895,5849.0,0,0,0,1
1,1,1.0,1,0,4583,1508.0,128.0,360.0,1.0,0,6091.0,0.0210146117222131,3045.5,1,1,0,0
1,1,0.0,1,1,3000,0.0,66.0,360.0,1.0,1,3000.0,0.022,3000.0,0,0,0,1
1,1,0.0,0,0,2583,2358.0,120.0,360.0,1.0,1,4941.0,0.024286581663630843,4941.0,1,0,0,1
1,0,0.0,1,0,6000,0.0,141.0,360.0,1.0,1,6000.0,0.0235,6000.0,0,0,0,1
1,1,2.0,1,1,5417,4196.0,267.0,360.0,1.0,1,9613.0,0.027774888172266723,3204.3333333333335,1,0,0,1
1,1,0.0,0,0,2333,1516.0,95.0,360.0,1.0,1,3849.0,0.024681735515718367,3849.0,1,0,0,1
1,1,3.0,1,0,3036,2504.0,158.0,360.0,0.0,0,5540.0,0.02851985559566787,1385.0,1,0,1,0
1,1,2.0,1,0,4006,1526.0,168.0,360.0,1.0,1,5532.0,0.03036876355748373,1844.0,1,0,0,1
1,1,1.0,1,0,12841,10968.0,349.0,360.0,1.0,0,23809.0,0.014658322483094628,11904.5,1,0,1,0
1,1,2.0,1,0,3200,700.0,70.0,360.0,1.0,1,3900.0,0.017948717948717947,1300.0,1,0,0,1
1,1,2.0,1,0,2500,1840.0,109.0,360.0,1.0,1,4340.0,0.02511520737327189,1446.6666666666667,1,0,0,1
1,1,2.0,1,0,3073,8106.0,200.0,360.0,1.0,1,11179.0,0.01789068789694964,3726.3333333333335,1,0,0,1
1,0,0.0,1,0,1853,2840.0,114.0,360.0,1.0,0,4693.0,0.024291497975708502,4693.0,1,1,0,0
1,1,2.0,1,0,1299,1086.0,17.0,120.0,1.0,1,2385.0,0.007127882599580713,795.0,1,0,0,1
1,0,0.0,1,0,4950,0.0,125.0,360.0,1.0,1,4950.0,0.025252525252525252,4950.0,0,0,0,1
1,0,1.0,0,0,3596,0.0,100.0,240.0,1.0,1,3596.0,0.027808676307007785,1798.0,0,0,0,1
0,0,0.0,1,0,3510,0.0,76.0,360.0,0.0,0,3510.0,0.021652421652421653,3510.0,0,0,0,1
1,1,0.0,0,0,4887,0.0,133.0,360.0,1.0,0,4887.0,0.027215060364231634,4887.0,0,1,0,0
1,1,0.0,1,0,2600,3500.0,115.0,360.0,1.0,1,6100.0,0.018852459016393444,6100.0,1,0,0,1
1,1,0.0,0,0,7660,0.0,104.0,360.0,0.0,0,7660.0,0.013577023498694517,7660.0,0,0,0,1
1,1,1.0,1,0,5955,5625.0,315.0,360.0,1.0,1,11580.0,0.027202072538860103,5790.0,1,0,0,1
1,1,0.0,0,0,2600,1911.0,116.0,360.0,0.0,0,4511.0,0.025714919086677012,4511.0,1,0,1,0
1,1,2.0,0,0,3365,1917.0,112.0,360.0,0.0,0,5282.0,0.021204089360090876,1760.6666666666667,1,1,0,0
1,1,1.0,1,0,3717,2925.0,151.0,360.0,1.0,0,6642.0,0.02273411623005119,3321.0,1,0,1,0
1,1,0.0,1,1,9560,0.0,191.0,360.0,1.0,1,9560.0,0.01997907949790795,9560.0,0,0,1,0
1,1,0.0,1,0,2799,2253.0,122.0,360.0,1.0,1,5052.0,0.02414885193982581,5052.0,1,0,1,0
1,1,2.0,0,0,4226,1040.0,110.0,360.0,1.0,1,5266.0,0.020888720091150777,1755.3333333333333,1,0,0,1
1,0,0.0,0,0,1442,0.0,35.0,360.0,1.0,0,1442.0,0.024271844660194174,1442.0,0,0,0,1
0,0,2.0,1,0,3750,2083.0,120.0,360.0,1.0,1,5833.0,0.020572604148808505,1944.3333333333333,1,0,1,0
1,1,1.0,1,0,4166,3369.0,201.0,360.0,1.0,0,7535.0,0.026675514266755143,3767.5,1,0,0,1
1,0,0.0,1,0,3167,0.0,74.0,360.0,1.0,0,3167.0,0.023365961477739186,3167.0,0,0,0,1
1,0,1.0,1,1,4692,0.0,106.0,360.0,1.0,0,4692.0,0.022591645353793693,2346.0,0,1,0,0
1,1,0.0,1,0,3500,1667.0,114.0,360.0,1.0,1,5167.0,0.022063092703696534,5167.0,1,0,1,0
1,0,3.0,1,0,12500,3000.0,320.0,360.0,1.0,0,15500.0,0.02064516129032258,3875.0,1,1,0,0
1,1,0.0,1,0,2275,2067.0,128.0,360.0,1.0,1,4342.0,0.02947950253339475,4342.0,1,0,0,1
1,1,0.0,1,0,1828,1330.0,100.0,360.0,0.0,0,3158.0,0.031665611146295125,3158.0,1,0,0,1
0,1,0.0,1,0,3667,1459.0,144.0,360.0,1.0,1,5126.0,0.02809207959422552,5126.0,1,0,1,0
1,0,0.0,1,0,4166,7210.0,184.0,360.0,1.0,1,11376.0,0.01617440225035162,11376.0,1,0,0,1
1,0,0.0,0,0,3748,1668.0,110.0,360.0,1.0,1,5416.0,0.02031019202363368,5416.0,1,0,1,0
1,0,0.0,1,0,3600,0.0,80.0,360.0,1.0,0,3600.0,0.022222222222222223,3600.0,0,0,0,1
1,0,0.0,1,0,1800,1213.0,47.0,360.0,1.0,1,3013.0,0.015599070693660804,3013.0,1,0,0,1
1,1,0.0,1,0,2400,0.0,75.0,360.0,1.0,1,2400.0,0.03125,2400.0,0,0,0,1
1,1,0.0,1,0,3941,2336.0,134.0,360.0,1.0,1,6277.0,0.021347777600764697,6277.0,1,0,1,0
1,1,0.0,0,1,4695,0.0,96.0,360.0,1.0,1,4695.0,0.020447284345047924,4695.0,0,0,0,1
0,0,0.0,1,0,3410,0.0,88.0,360.0,1.0,1,3410.0,0.025806451612903226,3410.0,0,0,0,1
1,1,1.0,1,0,5649,0.0,44.0,360.0,1.0,1,5649.0,0.007788989201628607,2824.5,0,0,0,1
1,1,0.0,1,0,5821,0.0,144.0,360.0,1.0,1,5821.0,0.02473801752276241,5821.0,0,0,0,1
0,1,0.0,1,0,2645,3440.0,120.0,360.0,0.0,0,6085.0,0.01972062448644207,6085.0,1,0,0,1
0,0,0.0,1,0,4000,2275.0,144.0,360.0,1.0,1,6275.0,0.022948207171314742,6275.0,1,0,1,0
0,1,0.0,0,0,1928,1644.0,100.0,360.0,1.0,1,3572.0,0.027995520716685332,3572.0,1,0,1,0
0,0,0.0,1,0,3086,0.0,120.0,360.0,1.0,1,3086.0,0.03888528839922229,3086.0,0,0,1,0
0,0,0.0,1,0,4230,0.0,112.0,360.0,1.0,0,4230.0,0.026477541371158392,4230.0,0,0,1,0
1,1,2.0,1,0,4616,0.0,134.0,360.0,1.0,0,4616.0,0.02902946273830156,1538.6666666666667,0,0,0,1
0,1,1.0,1,1,11500,0.0,286.0,360.0,0.0,0,11500.0,0.024869565217391306,5750.0,0,0,0,1
1,1,2.0,1,0,2708,1167.0,97.0,360.0,1.0,1,3875.0,0.02503225806451613,1291.6666666666667,1,0,1,0
1,1,0.0,1,0,2132,1591.0,96.0,360.0,1.0,1,3723.0,0.0257856567284448,3723.0,1,0,1,0
1,1,0.0,1,0,3366,2200.0,135.0,360.0,1.0,0,5566.0,0.024254401724757457,5566.0,1,1,0,0
1,1,1.0,1,0,8080,2250.0,180.0,360.0,1.0,1,10330.0,0.017424975798644726,5165.0,1,0,0,1
1,1,2.0,0,0,3357,2859.0,144.0,360.0,1.0,1,6216.0,0.023166023166023165,2072.0,1,0,0,1
1,1,0.0,1,0,2500,3796.0,120.0,360.0,1.0,1,6296.0,0.01905972045743329,6296.0,1,0,0,1
1,1,3.0,1,0,3029,0.0,99.0,360.0,1.0,1,3029.0,0.03268405414328161,757.25,0,0,0,1
1,1,0.0,0,1,2609,3449.0,165.0,180.0,0.0,0,6058.0,0.02723671178606801,6058.0,1,1,0,0
1,1,1.0,1,0,4945,0.0,128.0,360.0,0.0,0,4945.0,0.025884732052578362,2472.5,0,1,0,0
0,0,0.0,1,0,4166,0.0,116.0,360.0,0.0,0,4166.0,0.02784445511281805,4166.0,0,0,1,0
1,1,0.0,1,0,5726,4595.0,258.0,360.0,1.0,0,10321.0,0.024997577754093597,10321.0,1,0,1,0
1,0,0.0,0,0,3200,2254.0,126.0,180.0,0.0,0,5454.0,0.0231023102310231,5454.0,1,0,0,1
1,1,1.0,1,0,10750,0.0,312.0,360.0,1.0,1,10750.0,0.02902325581395349,5375.0,0,0,0,1
1,1,3.0,0,1,7100,0.0,125.0,60.0,1.0,1,7100.0,0.017605633802816902,1775.0,0,0,0,1
0,0,0.0,1,0,4300,0.0,136.0,360.0,0.0,0,4300.0,0.03162790697674418,4300.0,0,0,1,0
1,1,0.0,1,0,3208,3066.0,172.0,360.0,1.0,1,6274.0,0.027414727446605038,6274.0,1,0,0,1
1,1,2.0,0,1,1875,1875.0,97.0,360.0,1.0,1,3750.0,0.025866666666666666,1250.0,1,0,1,0
1,0,0.0,1,0,3500,0.0,81.0,300.0,1.0,1,3500.0,0.023142857142857142,3500.0,0,0,1,0
1,1,3.0,0,0,4755,0.0,95.0,360.0,0.0,0,4755.0,0.019978969505783387,1188.75,0,0,1,0
1,1,3.0,1,1,5266,1774.0,187.0,360.0,1.0,1,7040.0,0.0265625,1760.0,1,0,1,0
1,0,0.0,1,0,3750,0.0,113.0,480.0,1.0,0,3750.0,0.030133333333333335,3750.0,0,0,0,1
1,0,0.0,1,0,3750,4750.0,176.0,360.0,1.0,0,8500.0,0.020705882352941178,8500.0,1,0,0,1
1,1,1.0,1,1,1000,3022.0,110.0,360.0,1.0,0,4022.0,0.02734957732471407,2011.0,1,0,0,1
1,1,3.0,1,0,3167,4000.0,180.0,300.0,0.0,0,7167.0,0.025115110925073254,1791.75,1,0,1,0
1,1,3.0,0,1,3333,2166.0,130.0,360.0,1.0,1,5499.0,0.02364066193853428,1374.75,1,0,1,0
0,0,0.0,1,0,3846,0.0,111.0,360.0,1.0,1,3846.0,0.028861154446177848,3846.0,0,0,1,0
1,1,1.0,1,1,2395,0.0,128.0,360.0,1.0,1,2395.0,0.05344467640918581,1197.5,0,0,1,0
0,1,2.0,1,0,1378,1881.0,167.0,360.0,1.0,0,3259.0,0.0512427124884934,1086.3333333333333,1,0,0,1
1,1,0.0,1,0,6000,2250.0,265.0,360.0,1.0,0,8250.0,0.03212121212121212,8250.0,1,0,1,0
1,1,1.0,1,0,3988,0.0,50.0,240.0,1.0,1,3988.0,0.012537612838515547,1994.0,0,0,0,1
1,0,0.0,1,0,2366,2531.0,136.0,360.0,1.0,1,4897.0,0.027772105370635083,4897.0,1,0,1,0
1,1,2.0,0,0,3333,2000.0,99.0,360.0,1.0,1,5333.0,0.0185636602287643,1777.6666666666667,1,0,1,0
1,1,0.0,1,0,2500,2118.0,104.0,360.0,1.0,1,4618.0,0.02252057167605024,4618.0,1,0,1,0
1,0,0.0,1,0,8566,0.0,210.0,360.0,1.0,1,8566.0,0.02451552650011674,8566.0,0,0,0,1
1,1,0.0,1,0,5695,4167.0,175.0,360.0,1.0,1,9862.0,0.017744879334820524,9862.0,1,0,1,0
1,1,0.0,1,0,2958,2900.0,131.0,360.0,1.0,1,5858.0,0.022362581085694777,5858.0,1,0,1,0
1,1,2.0,1,0,6250,5654.0,188.0,180.0,1.0,1,11904.0,0.015793010752688172,3968.0,1,0,1,0
1,1,2.0,0,0,3273,1820.0,81.0,360.0,1.0,1,5093.0,0.015904182210877676,1697.6666666666667,1,0,0,1
1,0,0.0,1,0,4133,0.0,122.0,360.0,1.0,1,4133.0,0.029518509557222357,4133.0,0,0,1,0
1,0,0.0,0,0,3620,0.0,25.0,120.0,1.0,1,3620.0,0.006906077348066298,3620.0,0,0,1,0
1,0,0.0,1,0,6782,0.0,128.0,360.0,1.0,0,6782.0,0.018873488646416987,6782.0,0,0,0,1
0,1,0.0,1,0,2484,2302.0,137.0,360.0,1.0,1,4786.0,0.028625156707062265,4786.0,1,0,1,0
1,1,0.0,1,0,1977,997.0,50.0,360.0,1.0,1,2974.0,0.016812373907195696,2974.0,1,0,1,0
1,1,0.0,0,0,4188,0.0,115.0,180.0,1.0,1,4188.0,0.027459407831900668,4188.0,0,0,1,0
1,1,0.0,1,0,1759,3541.0,131.0,360.0,1.0,1,5300.0,0.02471698113207547,5300.0,1,0,1,0
1,1,2.0,0,0,4288,3263.0,133.0,180.0,1.0,1,7551.0,0.01761356111773275,2517.0,1,0,0,1
1,0,0.0,1,0,4843,3806.0,151.0,360.0,1.0,1,8649.0,0.017458665741704245,8649.0,1,0,1,0
1,1,0.0,1,0,13650,0.0,128.0,360.0,1.0,1,13650.0,0.009377289377289377,13650.0,0,0,0,1
1,1,0.0,1,0,4652,3583.0,128.0,360.0,1.0,1,8235.0,0.01554341226472374,8235.0,1,0,1,0
1,1,0.0,1,0,3816,754.0,160.0,360.0,1.0,1,4570.0,0.0350109409190372,4570.0,1,0,0,1
1,1,1.0,1,0,3052,1030.0,100.0,360.0,1.0,1,4082.0,0.02449779519843214,2041.0,1,0,0,1
1,1,2.0,1,0,11417,1126.0,225.0,360.0,1.0,1,12543.0,0.01793829227457546,4181.0,1,0,0,1
1,0,0.0,0,0,7333,0.0,120.0,360.0,1.0,0,7333.0,0.01636438019909996,7333.0,0,1,0,0
1,1,2.0,1,0,3800,3600.0,216.0,360.0,0.0,0,7400.0,0.02918918918918919,2466.6666666666665,1,0,0,1
1,1,3.0,0,0,2071,754.0,94.0,480.0,1.0,1,2825.0,0.03327433628318584,706.25,1,0,1,0
1,0,0.0,1,0,5316,0.0,136.0,360.0,1.0,1,5316.0,0.025583145221971408,5316.0,0,0,0,1
0,1,0.0,1,0,2929,2333.0,139.0,360.0,1.0,1,5262.0,0.026415811478525276,5262.0,1,0,1,0
1,1,0.0,0,0,3572,4114.0,152.0,360.0,0.0,0,7686.0,0.019776216497527973,7686.0,1,1,0,0
0,0,1.0,1,1,7451,0.0,128.0,360.0,1.0,1,7451.0,0.01717890216078379,3725.5,0,0,1,0
1,0,0.0,1,0,5050,0.0,118.0,360.0,1.0,1,5050.0,0.023366336633663366,5050.0,0,0,1,0
1,1,1.0,1,0,14583,0.0,185.0,180.0,1.0,1,14583.0,0.012686004251525749,7291.5,0,1,0,0
